index,video_id,label_from_thumbnail_or_title,url,thumb_file
83,BdqenHB1fdw,비트코인 예측한 피터틸 (1999년),https://www.youtube.com/watch?v=BdqenHB1fdw,artifacts/bzcf_thumbnails/thumbs/083_비트코인 예측한 피터틸 (1999년).jpg
84,pbM0hIll9Gk,'진짜'들은 제미나이 쓴다. (구글),https://www.youtube.com/watch?v=pbM0hIll9Gk,artifacts/bzcf_thumbnails/thumbs/084_'진짜'들은 제미나이 쓴다. (구글).jpg
85,011Xq8qEwOs,실패를 통과하는 일 (박소령 퍼블리 창업자),https://www.youtube.com/watch?v=011Xq8qEwOs,artifacts/bzcf_thumbnails/thumbs/085_실패를 통과하는 일 (박소령 퍼블리 창업자).jpg
86,9KVxx7CLBxA,60억 투자받은 96년생 | 바카티오 지현준 대표,https://www.youtube.com/watch?v=9KVxx7CLBxA,artifacts/bzcf_thumbnails/thumbs/086_60억 투자받은 96년생 바카티오 지현준 대표.jpg
87,HjtKS6ISiTI,떡잎부터 달랐던 샘알트먼,https://www.youtube.com/watch?v=HjtKS6ISiTI,artifacts/bzcf_thumbnails/thumbs/087_떡잎부터 달랐던 샘알트먼.jpg
88,QvtOB8CLomc,'변하지 않는 것' (제프 베조스),https://www.youtube.com/watch?v=QvtOB8CLomc,artifacts/bzcf_thumbnails/thumbs/088_'변하지 않는 것' (제프 베조스).jpg
89,3fk5S_uzI7Y,엔비디아 창업 썰푼다 (젠슨황),https://www.youtube.com/watch?v=3fk5S_uzI7Y,artifacts/bzcf_thumbnails/thumbs/089_엔비디아 창업 썰푼다 (젠슨황).jpg
90,NfFFm49420Y,팔란티어 알렉스카프 1:1 인터뷰,https://www.youtube.com/watch?v=NfFFm49420Y,artifacts/bzcf_thumbnails/thumbs/090_팔란티어 알렉스카프 1 1 인터뷰.jpg
91,8N3MhUMDdI4,"""인간 모두가 패배자"" (제프리 힌튼)",https://www.youtube.com/watch?v=8N3MhUMDdI4,artifacts/bzcf_thumbnails/thumbs/091_인간 모두가 패배자 (제프리 힌튼).jpg
92,K6lrW4N93Pk,미국 다음 시대 .. (싱가포르 총리 로렌스 웡),https://www.youtube.com/watch?v=K6lrW4N93Pk,artifacts/bzcf_thumbnails/thumbs/092_미국 다음 시대 .. (싱가포르 총리 로렌스 웡).jpg
